date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:12	100250/100250	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:11%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/geforce-now	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/geforce-now.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:12	99259/99259	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:12%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/wordle	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/wordle.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:12	105148/105148	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:12%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/wordle/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/wordle/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:13	104776/104776	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:12%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/eagler-craft	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/eagler-craft.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:13	104602/104602	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:13%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/eagler-craft/download	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/eagler-craft/download.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:13	104823/104823	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:13%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/extreme-math	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/extreme-math.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:13	99529/99529	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:13%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/2048	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/2048.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:14	104736/104736	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:14%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/2048/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/2048/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:14	99212/99212	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:14%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/asteroids	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/asteroids.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:14	105133/105133	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:14%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/asteroids/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/asteroids/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
